Atlas_Number,Entrances_Display_Name,Entrances_Number,Entrances_Type,Entrances_Position,Entrance_Summary,Entrances_Comments
1351,WA1351,2,Simple Gap,West,Access to the annexe N of the farmhouse is via central gap between both enclosures.,null
1351,WA1351,3,In-turned,West,Possible inturned entrances on W may be part modern.,null
1352,WA1352,1,Simple Gap,North west,Causewayed entrance.,null
1354,IR1354,1,Simple Gap,South west,null,null
1360,WA1360,1,Out-turned,West,Possible.,null
1361,WA1361,1,In-turned,West,Possible.,null
1364,SC1364,1,Simple Gap,South,null,null
1367,WA1367,1,Simple Gap,South west,null,null
1370,WA1370,1,Simple Gap,North east,null,null
1371,WA1371,1,Simple Gap,East,Type estimated. Affected by farm buildings.,null
1372,WA1372,1,Simple Gap,North east,Approached by zig-zag path.,null
1373,WA1373,1,Simple Gap,North east,Type estimated.,null
1374,WA1374,1,In-turned,South west,null,null
1374,WA1374,2,Simple Gap,North east,Possible entrance - now gone and conjecture.,null
1376,WA1376,1,Simple Gap,South west,null,null
1377,WA1377,1,In-turned,East,Damaged.,null
1377,WA1377,2,In-turned,West,null,null
1378,WA1378,1,In-turned,North east,Main inner enclosure entrance.,null
1378,WA1378,2,In-turned,North east,Outer entrance.,null
1379,WA1379,1,Simple Gap,North east,Causewayed entrance.,null
1381,WA1381,1,Simple Gap,South,null,null
1381,WA1381,2,Simple Gap,South west,null,null
1382,WA1382,1,Simple Gap,South east,null,null
1382,WA1382,2,Simple Gap,North west,null,null
1383,WA1383,1,Over-lapping,North west,null,null
1384,WA1384,1,Simple Gap,North east,null,null
1384,WA1384,2,Simple Gap,North west,Not proven as original.,null
1385,WA1385,1,In-turned,South east,Slightly inturned.,null
1386,IR1386,1,Simple Gap,West,null,null
1389,SC1389,1,Simple Gap,North,hollowed by traffic,null
1389,SC1389,2,Simple Gap,North,null,null
1390,IR1390,1,Simple Gap,West,Causeway over ditch,null
1391,IR1391,1,Simple Gap,North east,null,null
1393,WA1393,1,In-turned,North east,null,null
1393,WA1393,1,Hollow Way,North east,Hollowed approach into interior.,null
1395,WA1395,1,Simple Gap,North,Possible entrance on N side of N enclosure.,null
1395,WA1395,2,Out-turned,South,Entrance on S side of middle enclosure.,null
1396,WA1396,1,Simple Gap,North west,Wide entrance.,null
1397,WA1397,1,Outworks,North west,Simple gap with possible outworks,null
1397,WA1397,1,Simple Gap,North west,"The entrance is an 8m-wide gap through the two overlapping inner and outer arms, but this is not proven.",null
1397,WA1397,1,Over-lapping,North west,"The entrance is an 8m-wide gap through the two overlapping inner and outer arms, but this is not proven.",null
1397,WA1397,2,Simple Gap,East,May be later.,null
1399,WA1399,1,Hollow Way,South east,Possible remnants of holloway/trackway along this ridge leading up to SE corner of enclosure.,null
1400,WA1400,1,Simple Gap,North east,null,null
1402,WA1402,1,Simple Gap,West,Possible.,null
1403,WA1403,1,Simple Gap,North west,null,null
1404,WA1404,1,Simple Gap,South east,Possibly stone-faced.,null
1405,WA1405,1,Simple Gap,South west,10m wide gap possible entrance.,null
1407,IR1407,1,Simple Gap,North west,causeway,null
1408,WA1408,1,Hollow Way,West,null,null
1408,WA1408,1,Simple Gap,West,null,null
1408,WA1408,1,Outworks,West,Protected by bank to N.,null
1409,WA1409,1,Oblique,West,Oblique entrance.,null
1410,WA1410,1,Simple Gap,West,null,null
1412,WA1412,1,Passage-way/Corridor,North east,c. 1.5m wide and oblique passageway c. 10m-12 long.,null
1412,WA1412,1,Hollow Way,North east,Approached by hollow way.,null
1412,WA1412,1,Oblique,North east,Oblique passageway.,null
1412,WA1412,1,In-turned,North east,Possible inturn and curving wall face.,null
1412,WA1412,1,Simple Gap,North east,null,null
1412,WA1412,2,Passage-way/Corridor,North west,c. 1.5m wide and oblique passageway c. 10m-12 long.,null
1412,WA1412,2,Hollow Way,North west,Approached by hollow way.,null
1412,WA1412,2,Oblique,North west,Oblique passageway.,null
1412,WA1412,2,Simple Gap,North west,null,null
1414,WA1414,1,In-turned,North,Entrance through innermost bank.,null
1414,WA1414,2,Simple Gap,North,Entrance though middle bank.,null
1415,WA1415,1,Simple Gap,North east,Terraced trackway approach.,null
1416,WA1416,1,Simple Gap,East,null,null
1418,SC1418,1,In-turned,North,"According to MacKie, to either side of the gully",null
1418,SC1418,2,Simple Gap,South,null,null
1419,SC1419,1,Simple Gap,North east,null,null
1419,SC1419,2,Simple Gap,West,null,null
1420,WA1420,1,In-turned,North west,Guarded by natural outcrop.,null
1420,WA1420,1,Hollow Way,North west,Hollow way leads up hill to fort.,null
1421,WA1421,1,In-turned,North east,With hollow way.,null
1421,WA1421,1,Hollow Way,North east,External hollow way.,null
1424,WA1424,1,Simple Gap,North east,Type estimated,null
1425,WA1425,1,Simple Gap,North west,Now used as access track.,null
1427,WA1427,1,Simple Gap,East,null,null
1429,SC1429,1,Simple Gap,South west,Terminals to the ditches of the outer defence either side of the hollowed trackway on the SW,null
1432,IR1432,1,Simple Gap,North,null,null
1433,SC1433,1,Simple Gap,South east,null,null
1434,IR1434,1,Other Forms,North east,Approached by a causeway across a natural gully,null
1435,IR1435,1,Other Forms,East,Stone lintelled entrance no longer evident,null
1436,SC1436,1,Simple Gap,East,null,null
1438,WA1438,1,Barbican,North,Early enclosure entrance.,null
1438,WA1438,2,Simple Gap,South,Early enclosure entrance.,null
1438,WA1438,3,Barbican,South west,Later enclosure entrance.,null
1438,WA1438,4,Simple Gap,North,Later enclosure entrance.,null
1441,WA1441,1,Simple Gap,North,null,null
1443,WA1443,1,Simple Gap,South west,null,null
1444,WA1444,1,Simple Gap,North,null,null
1444,WA1444,1,Hollow Way,North,Uncertain.,null
1446,WA1446,1,Simple Gap,South west,null,null
1448,WA1448,1,In-turned,South west,Possibly supercedes a major NW gate.,null
1448,WA1448,2,In-turned,North east,null,null
1448,WA1448,3,Other Forms,North west,"Recent aerial photography identified more features on N side, including complex earthworks and a major NW gateway which may have superceded the original ridge-top W gateway to the fort.",null
1449,WA1449,1,In-turned,South west,null,null
1450,WA1450,1,Simple Gap,North west,null,null
1452,WA1452,1,Simple Gap,South,Uncertain.,null
1452,WA1452,2,Outworks,North east,Possible outworks.,null
1453,WA1453,1,Simple Gap,North east,Type estimated.,null
1453,WA1453,2,Simple Gap,South east,Type estimated.,null
1454,WA1454,1,Simple Gap,East,Type estimated.,null
1456,WA1456,1,Simple Gap,South,Major break to S could indicate site of entrance.,null
1457,IR1457,1,Simple Gap,South west,null,null
1458,SC1458,1,Simple Gap,South east,null,null
1458,SC1458,1,Simple Gap,North west,null,null
1460,SC1460,1,Simple Gap,South east,null,null
1461,IR1461,1,Simple Gap,North east,null,null
1462,SC1462,1,Simple Gap,North east,null,null
1463,SC1463,1,Simple Gap,West,Along southern margin of the promontory,null
1464,SC1464,1,Simple Gap,West,Approached by hollow way,null
1465,IR1465,1,Simple Gap,South west,null,null
1466,SC1466,1,Simple Gap,East,Approach hollowed by traffic,null
1466,null,1,Hollow Way,null,null,null
1466,SC1466,2,Simple Gap,West,Approach hollowed by traffic,null
1466,null,2,Hollow Way,null,null,null
1467,IR1467,1,Simple Gap,North east,null,null
1470,SC1470,1,Simple Gap,North east,null,null
1472,IR1472,1,Simple Gap,South,A causeway cuts across the major line of defences on the W and narrows from 5m wide on the S to 2m on the N or inner end.,null
1474,WA1474,1,In-turned,North east,null,null
1476,WA1476,1,Simple Gap,North east,Type estimated.,null
1477,SC1477,1,Simple Gap,North,null,null
1477,SC1477,2,Simple Gap,South,null,null
1478,WA1478,1,In-turned,East,Long 20m passage formed by inturns.,null
1478,WA1478,1,Passage-way/Corridor,East,Long 20m passage formed by inturns.,null
1478,WA1478,2,Simple Gap,West,Damaged gap.,null
1486,WA1486,1,Passage-way/Corridor,East,Third and fourth ramparts linked to form an entrance passage.,null
1488,NI1488,1,Simple Gap,West,"At W is a narrow causeway 1.3m wide, which runs across the ditch, and a narrow path leads to the top.",null
1491,SC1491,1,Simple Gap,East,null,null
1492,SC1492,1,Simple Gap,South east,null,null
1494,SC1494,1,Simple Gap,North west,null,null
1495,NI1495,1,Simple Gap,West,null,null
1496,SC1496,1,Simple Gap,South east,Hollowed track drops down the slope,null
1498,WA1498,1,Simple Gap,East,Simple gap with causeway.,null
1499,WA1499,1,Simple Gap,North east,null,null
1500,WA1500,1,Hollow Way,North west,Flanked by stony banks.,null
1501,WA1501,1,Simple Gap,East,null,null
1502,SC1502,1,Simple Gap,South,null,null
1503,WA1503,1,Outworks,East,Reached through low banks through a series of outer banks or outworks and the main outer rampart - the so-called 'Processional Way'.,null
1503,WA1503,1,Simple Gap,East,12m wide gap.,null
1504,EN1504,1,Simple Gap,North,null,null
1506,EN1506,1,Simple Gap,East,null,null
1506,EN1506,2,Simple Gap,West,null,null
1507,WA1507,1,Simple Gap,South east,Possible inner enclosure entrance.,null
1508,WA1508,1,In-turned,South east,"SE inturned passage entrance c. 4.5m long and 2.5m wide, obscured by trench.",null
1508,WA1508,1,Passage-way/Corridor,South east,"SE inturned passage entrance c. 4.5m long and 2.5m wide, obscured by trench.",null
1509,WA1509,1,In-turned,East,Possible slighty inturned.,null
1509,WA1509,2,Simple Gap,West,null,null
1513,IR1513,1,Simple Gap,South west,null,null
1514,SC1514,1,Simple Gap,North,null,null
1514,SC1514,2,Simple Gap,East,null,null
1515,null,1,Simple Gap,null,Position not defined,null
1516,WA1516,1,Simple Gap,South east,null,null
1517,IR1517,1,Out-turned,North,null,null
1518,WA1518,1,In-turned,East,The N-most of the two E entrances.,null
1518,WA1518,2,Simple Gap,East,null,null
1518,WA1518,3,Other Forms,South,Follows possible natural gully.,null
1519,IR1519,1,Simple Gap,North,null,null
1521,IR1521,1,Simple Gap,East,null,null
1523,WA1523,1,Simple Gap,North east,null,null
1525,WA1525,1,Simple Gap,South,null,null
1526,WA1526,1,Simple Gap,East,Possible.,null
1527,WA1527,1,Simple Gap,South east,Conjecture only.,null
1529,WA1529,1,Simple Gap,South east,null,null
1530,WA1530,1,In-turned,North east,null,null
1530,WA1530,2,Simple Gap,South,Possible site only where rampart tails off before steep slope.,null
1532,WA1532,1,Passage-way/Corridor,North east,Passageway entrance at NE angle c. 20m long and 3.5m wide.,null
1533,WA1533,1,Simple Gap,North west,Outer entrance.,null
1533,WA1533,2,Simple Gap,West,Inner entrance.,null
1533,WA1533,2,Over-lapping,West,"From outer entrance, route runs parallel with inner bank to enter interior through inner bank on W.",null
1536,WA1536,1,In-turned,North west,Part inturned inner entrance.,null
1536,WA1536,2,Simple Gap,North west,Outer entrance.,null
1539,SC1539,1,Simple Gap,East,null,null
1543,WA1543,1,Simple Gap,South east,null,null
1544,SC1544,1,Simple Gap,South,null,null
1545,WA1545,1,Simple Gap,North east,null,null
1546,WA1546,1,Simple Gap,East,Main entrance to central enclosure.,null
1546,WA1546,2,Simple Gap,North west,null,null
1546,WA1546,3,Simple Gap,East,Hollow causeway runs from it to the inner enclosure entrance.,null
1548,WA1548,1,Simple Gap,South west,Original entrance uncertain and type and position estimated.,null
1549,WA1549,1,Simple Gap,South west,Through inner rampart.,null
1549,WA1549,2,Simple Gap,South west,Through outer rampart.,null
1550,WA1550,1,Simple Gap,East,null,null
1551,WA1551,1,Simple Gap,North east,null,null
1552,WA1552,1,Simple Gap,North,null,null
1553,WA1553,1,Simple Gap,South east,Entrance through inner rampart.,null
1554,WA1554,1,Simple Gap,South,null,null
1556,WA1556,1,Over-lapping,North east,NE entrance where two ramparts overlap.,null
1556,WA1556,1,Passage-way/Corridor,North east,Short passageway.,null
1556,WA1556,2,Hollow Way,South west,Possible SW entrance? Hollow way NE-SW through site - date unknown.,null
1558,SC1558,1,Simple Gap,South,"Suggestions that the ditches return and unite, but made on the basis of the interpretation of vertical imagery and may be misleading",null
1559,SC1559,1,Simple Gap,South east,null,null
1561,SC1561,1,Simple Gap,South,Supposedly through both the earthworks and palisades,null
1561,SC1561,2,Passage-way/Corridor,North west,Formed by palisade trenches,null
1562,IR1562,1,Simple Gap,South east,null,null
1565,IR1565,1,Simple Gap,East,null,null
1567,SC1567,1,Simple Gap,East,null,null
1568,SC1568,1,Other Forms,North,Over the rampart via a bridge across the inner ditch,null
1572,WA1572,1,Simple Gap,West,null,null
1573,WA1573,1,Simple Gap,North west,Entrance into main enclosure.,null
1573,WA1573,2,In-turned,South east,Entrance into annexe from main enclosure,null
1574,WA1574,1,Simple Gap,North east,Assessment only.,null
1575,WA1575,1,Simple Gap,South west,null,null
1577,SC1577,1,Simple Gap,South west,null,null
1581,SC1581,1,Simple Gap,East,null,null
1587,IR1587,1,Simple Gap,South,null,null
1591,SC1591,1,Simple Gap,East,Entrance in at least three phases,null
1591,SC1591,2,Simple Gap,South,In the inner enclosure,null
1593,SC1593,1,Passage-way/Corridor,West,null,null
1594,SC1594,1,Simple Gap,South east,null,null
1596,SC1596,1,Simple Gap,North east,null,null
1596,SC1596,1,Simple Gap,South east,null,null
1596,SC1596,1,Simple Gap,South west,null,null
1596,SC1596,1,Simple Gap,North west,null,null
1597,EN1597,1,In-turned,North,null,null
1600,WA1600,1,Simple Gap,South west,Large mounds commands approach.,null
1600,WA1600,1,Simple Gap,South west,Large mounds commands approach.,null
1603,WA1603,1,In-turned,West,"Complex entrance, but much disturbed.",null
1603,WA1603,2,Simple Gap,South,"Possible entrance may be on the S side, and this would have given access into the E annexe from the main enclosure, there being no present gap between it and the inner rampart for access.",null
1604,WA1604,1,Simple Gap,West,Ill-defined gap.,null
1605,WA1605,1,Simple Gap,West,Possible entrance only.,null
1607,WA1607,1,In-turned,North,null,null
1607,WA1607,1,Oblique,North,Path running entrance obliquely down N scarp to a ford possibly contemporary.,null
1608,WA1608,1,Simple Gap,South,Through inner defence. Causeway across ditch.,null
1613,WA1613,1,Simple Gap,South west,null,null
1615,WA1615,1,Simple Gap,South west,Narrow gap through inner bank.,null
1615,WA1615,2,Simple Gap,North west,Wider gap through inner bank.,null
1615,WA1615,3,Hollow Way,South west,Sunken gap through outer bank.,null
1615,WA1615,4,Simple Gap,West,"Possible gap, from which trackway ascends the hill to entrance through the inner bank c. 40m further to N.",null
1616,EN1616,1,In-turned,North east,In-turned entrance in univallate rampart,null
1616,EN1616,1,Recesses/Guard Chambers,North east,Univallate rampart,null
1616,EN1616,2,Simple Gap,North east,Box ramparts,null
1616,EN1616,3,Simple Gap,North east,Bivallate phase - inner rampart,null
1616,EN1616,3,Simple Gap,North east,Bivallate phase - outer rampart,null
1616,EN1616,4,Simple Gap,East,Multivallate phase outer rampart,null
1616,EN1616,5,In-turned,West,Outer rampart,null
1617,WA1617,1,Oblique,South east,Oblique entrance.,null
1618,IR1618,1,Simple Gap,East,null,null
1620,IR1620,1,Simple Gap,South east,null,null
1621,WA1621,1,Simple Gap,South east,"At SE angle, where terraced cart track 15m wide enters fort.",null
1624,WA1624,1,Simple Gap,North west,null,null
1626,WA1626,1,In-turned,North,Inner entrance.,null
1626,WA1626,2,Simple Gap,North,Outer entrance.,null
1627,SC1627,1,Simple Gap,North,null,null
1627,SC1627,2,Oblique,East,"Markedly staggered terminals in the outer, to expose the visitor's left side, and staggered gaps to expose right side",null
1627,SC1627,3,Oblique,South,Oblique approach exposing the right side,null
1627,SC1627,3,Simple Gap,South,Opposed rampart terminals,null
1627,SC1627,4,Simple Gap,West,Opposed rampart terminals,null
1627,SC1627,5,Simple Gap,North west,Opposed rampart terminals,null
1628,IR1628,1,Simple Gap,East,null,null
1630,WA1630,1,Simple Gap,North east,null,null
1631,SC1631,1,Simple Gap,North east,null,null
1631,SC1631,2,Simple Gap,South east,null,null
1631,SC1631,3,Simple Gap,South west,null,null
1631,SC1631,4,Simple Gap,North west,null,null
1632,IR1632,1,Simple Gap,South,null,null
1633,SC1633,1,Simple Gap,South east,null,null
1633,SC1633,2,Simple Gap,North west,null,null
1635,SC1635,1,Simple Gap,North east,null,null
1635,SC1635,2,Simple Gap,South,The hollow leading into the interior gives the impression of inturns to the rampart terminals,null
1637,WA1637,1,In-turned,South,null,null
1637,WA1637,2,Simple Gap,North west,"Possible entrance, but uncertain.",null
1638,WA1638,1,In-turned,South,Main entrance in middle of S side possibly inturned on E.,null
1638,WA1638,1,Other Forms,South,"Outside entrance two banks and ditches built out from main enclosure as if to protect approach, and slighter bank continues downhill to stream.",null
