Atlas_Number,Entrances_Display_Name,Entrances_Number,Entrances_Type,Entrances_Position,Entrance_Summary,Entrances_Comments
0172,EN0172,1,In-turned,East,null,null
0175,SC0175,1,Simple Gap,East,null,null
0176,SC0176,1,Simple Gap,East,Between the fort defences and the edge of the promontory.,null
0176,SC0176,2,Simple Gap,East,Central causeway across the ditch of the outwork to the broch.,null
0177,SC0177,1,Simple Gap,North,Natural terrace at end of the wall,null
0177,SC0177,2,Simple Gap,North east,Shallow hollow descends from the gap,null
0177,SC0177,3,Simple Gap,South,Natural terrace descends slope,null
0178,SC0178,1,Simple Gap,North east,null,null
0179,SC0179,1,Over-lapping,North,"Along E side of promontory, with staggered ditch terminals.",null
0184,SC0184,1,Simple Gap,East,Possible gap in a parchmark,null
0186,SC0186,1,Passage-way/Corridor,West,Traces of returns linking the two ramparts to either side of the gap.,null
0189,SC0189,1,Simple Gap,North east,null,null
0193,SC0193,1,Simple Gap,South east,Detail obscured by tumbled stones.,null
0195,SC0195,1,Simple Gap,East,Innermost circuit only.,null
0198,SC0198,1,Simple Gap,North east,null,null
0199,SC0199,1,Simple Gap,North east,null,null
0201,SC0201,1,Simple Gap,North west,null,null
0201,SC0201,2,Simple Gap,North west,null,null
0201,SC0201,3,Simple Gap,North west,null,null
0201,SC0201,4,Simple Gap,North west,Represented by the gap for the road,null
0203,SC0203,1,Simple Gap,North,null,null
0205,SC0205,1,Simple Gap,South east,Clear break through both ditches,null
0205,SC0205,2,Simple Gap,South west,"Probable gap in inner, but possibly not through outer",null
0207,SC0207,1,Simple Gap,West,null,null
0208,SC0208,1,Simple Gap,South west,null,null
0209,SC0209,1,Simple Gap,West,Causeway across ditch,null
0211,SC0211,1,Simple Gap,North west,Through both lines of defence,null
0212,SC0212,1,Simple Gap,North,Through both ramparts,null
0212,SC0212,2,Simple Gap,South west,Through inner rampart. Staggered gaps and oblique approach exposing the left side,null
0212,SC0212,2,Oblique,South west,"Slightly staggered terminals to either side of the outer gap, though the impression of a complete overlap has been created by later disturbance",null
0213,SC0213,1,Simple Gap,North east,null,null
0213,SC0213,2,Simple Gap,West,null,null
0215,SC0215,1,Simple Gap,North,null,null
0216,SC0216,1,Simple Gap,West,null,null
0218,SC0218,1,Simple Gap,South,null,null
0221,SC0221,1,Simple Gap,South,null,null
0222,SC0222,1,Simple Gap,North west,null,null
0225,SC0225,1,Simple Gap,West,null,null
0226,SC0226,1,Other Forms,North east,"Inner gap, but unclear how this would have crossed the outer defences.",null
0228,SC0228,1,Simple Gap,North east,null,null
0229,SC0229,1,Simple Gap,North east,At eastern end of rampart,null
0230,SC0230,1,Simple Gap,North west,null,null
0231,SC0231,1,Simple Gap,North east,null,null
0233,SC0233,1,Simple Gap,West,null,null
0234,SC0234,1,Simple Gap,West,null,null
0235,SC0235,1,Simple Gap,West,null,null
0236,SC0236,1,Simple Gap,North,Axis through both walls lies NNE,null
0241,SC0241,1,Simple Gap,South,null,null
0242,SC0242,1,Simple Gap,South west,null,null
0243,SC0243,1,Simple Gap,East,null,null
0244,SC0244,1,Simple Gap,North east,null,null
0246,SC0246,1,Simple Gap,North,null,null
0247,SC0247,1,Simple Gap,North east,null,null
0248,SC0248,1,Simple Gap,North east,null,null
0249,SC0249,1,Simple Gap,North east,null,null
