Main_Atlas_Number,Main_Display_Name,Location_X,Location_Y,Density,Density_trans,Location_Current_County,Location_Historic_County,Location_Current_Parish
2026,"Trickley Hill Camp, Northumberland (Twickley)",-218261,7466089,2.779094670967682e-12,-3.8019472788651663,Northumberland,Northumberland,Lilburn
2027,"Standing Stones Camp, Northumberland (Horton Moor)",-220363,7475290,2.8461738372872498e-12,-3.8019252937269696,Northumberland,Northumberland,Chatton
2028,"Kippy Heugh, Northumberland",-200467,7480252,2.3385963792997915e-12,-3.8021023169590578,Northumberland,Northumberland,Easington
2029,"Greaves Ash Camp, Northumberland",-228917,7447982,2.92150644987349e-12,-3.8019010542890914,Northumberland,Northumberland,Ingram
2030,"Titlington South Camp, Northumberland (South Titlington)",-203846,7445895,2.340848945642968e-12,-3.8021014713964423,Northumberland,Northumberland,Hedgeley
2031,"Brizlee Wood Camp, Northumberland",-198018,7443834,2.183676862485897e-12,-3.8021619685008208,Northumberland,Northumberland,Denwick
2032,"West Brizlee Camp, Northumberland (West Brizlee Wood)",-198436,7445138,2.201108418308408e-12,-3.8021551036787185,Northumberland,Northumberland,Denwick
2033,"East Lillburn, Northumberland",-216211,7460731,2.7128417990895934e-12,-3.8019693806182087,Northumberland,Northumberland,Lilburn
2034,"Doddington, Northumberland (Nesbit)",-257150,7477933,3.5180041489364325e-12,-3.801723776830709,Northumberland,Northumberland,Doddington
2035,"East Laddies Knowe, Northumberland",-243399,7470003,3.302110489472554e-12,-3.801785180455754,Northumberland,Northumberland,Kirknewton
2036,"Springhill, Northumberland",-222617,7508644,2.8146082874939356e-12,-3.801935591175941,Northumberland,Northumberland,Berwick upon Tweed
2037,"Wolfershiel, Northumberland",-219970,7419357,2.4796870171939537e-12,-3.802050474606854,Northumberland,Northumberland,Whitton and Tosson
2038,"The Heugh, Northumberland",-205815,7342292,1.2968986501547338e-12,-3.802581949386262,Northumberland,Northumberland,Hedley on the Hill
2039,"Brown's Law, Northumberland",-226922,7467769,2.980022374507571e-12,-3.8018825419321285,Northumberland,Northumberland,Akeld
2040,"S of Fenton Hill Camp, Northumberland",-226311,7480968,2.9852243723354866e-12,-3.801880909216808,Northumberland,Northumberland,Doddington
2041,"Nesbit Chesters, Northumberland (Chesters Strip Plantation)",-225453,7480144,2.9660295156651058e-12,-3.8018869442266596,Northumberland,Northumberland,Doddington
2042,"Etal, Northumberland (New Etal)",-235937,7489126,3.1802207020086905e-12,-3.801821165718145,Northumberland,Northumberland,Ford
2043,"Branxton Moor, Northumberland",-240131,7481711,3.2649313230117917e-12,-3.8017960514768423,Northumberland,Northumberland,Branxton
2044,"Pace Hill, Northumberland",-237755,7485078,3.2201015445435625e-12,-3.8018092815481457,Northumberland,Northumberland,Ford
2045,"White Hill, Northumberland",-229439,7481427,3.0534814676184754e-12,-3.801859677690283,Northumberland,Northumberland,Ford
2046,"Flodden Hill, Northumberland",-238099,7482158,3.227556425439757e-12,-3.8018070721064063,Northumberland,Northumberland,Ford
2047,"Kypie Hill, Northumberland",-238976,7478827,3.242394278152507e-12,-3.8018026857068583,Northumberland,Northumberland,Kilham
2048,"Blakelaw, Northumberland",-215773,7467360,2.722788729972007e-12,-3.8019660371483694,Northumberland,Northumberland,Tillside
2049,"West Pennar Rath, Pembrokeshire (West Pennar Camp)",-555578,6743899,1.2199295620553726e-12,-3.8026275987027343,Pembrokeshire,Pembrokeshire,Hundleton
2050,"Lambeeth, Pembrokeshire",-554908,6741278,1.2192754768414669e-12,-3.802627995615986,Pembrokeshire,Pembrokeshire,Hundleton
