Main_Atlas_Number,Main_Display_Name
452,"Cannington Park Camp, Somerset (Cynwit Castle; Cynuit Castle; Gynwir Castle; Kynwich Castle)"
453,"Brent Knoll, Somerset (Brent Knoll)"
454,"Plainsfield Camp, Somerset (Cockercombe Castle)"
455,"Orchard Wood, Somerset (Orchard Wood Hillfort)"
456,"Mells Down Camp, Somerset"
457,"Winsmoor Hill, Stocklinch, Somerset"
458,"Blacker's Hill, Somerset"
459,"Maesbury Castle, Somerset (Marksbury)"
460,"Dinies Camp, Somerset"
461,"Tedbury Camp, Somerset"
462,"Small Down Camp, Somerset (Small Down Knoll Camp)"
463,"Kingsdown Camp, Somerset"
464,"Wadbury Camp, Somerset (Wadbury Hillfort)"
465,"Fox Covert, Somerset"
466,"Westbury Camp, Somerset"
467,"Roddenbury Hill, Somerset (Roddenbury Camp)"
468,"Yeavering Bell Camp, Northumberland"
469,"Fawcett Shank, Northumberland"
470,"Great Hetha, Northumberland (Great Hetha Camp)"
471,"Ring Chesters, Northumberland (Elsdon Burn Camp)"
472,"Staw Hill, Northumberland"
473,"Middleton Dean, Northumberland (Dod Hill (North) Camp)"
474,"West Wylam, Northumberland"
475,"Prendwick Chesters, Northumberland (Prickly Knowe Enclosures)"
476,"Camp Hill, Northumberland"
477,"Glead's Cleugh Camp, Northumberland (Gledes-Cleugh Camp; Gleadscleugh)"
478,"Humbleton Hill Camp, Northumberland (Homildon; Hameldun; Holmedon; Homilheugh)"
479,"Monday Cleugh, Northumberland"
480,"Castle Hill Alnham, Northumberland"
481,"Chubden Camp, Northumberland (Low Chubden)"
482,"Isabella's Mount Camp, Northumberland (Rayheugh)"
483,"Lucker Camp, Northumberland (Ratchwood)"
484,"Roundabouts Camp, Northumberland"
485,"Broxmouth, East Lothian"
486,"Castle Dykes, Dunglass Dean, Scottish Borders (Castle Dykes, Dunglass Mill)"
487,"Castle Dykes, Bilsdean, East Lothian"
488,"Portencross, Auld Hill, North Ayrshire (Auldhill)"
489,"Easter Pinkerton, East Lothian (Thurston)"
491,"Gallow Law, Northumberland (Clennell Street; Castle Hills)"
492,"Camp Knowe, Northumberland (Clennell Hill)"
493,"Barcombe Hill, Northumberland"
494,"Bardon Mill, Northumberland"
495,"Chesters Hill, Northumberland"
496,"Bantam Hill, Northumberland (Belsay Hill)"
497,"Harehope Hill, Northumberland"
498,"Randy Burn Camp, Northumberland (Percy's Cross)"
499,"Bewick Hill Moor Camp, Northumberland (Blawearie Fort)"
500,"Bewick Hill Camp, Northumberland (Old Bewick West)"
501,"Halidon, Northumberland (Halidon Hill Settlement; Hallydown Hill)"
502,"Whiteadder Bridge, Northumberland"
503,"Brinklaw, Northumberland (Brinkburn Priory Promontory Fort)"
504,"Castle Hill Callaly, Northumberland (Callaly Hill)"
505,"The Old Hag, Northumberland"
506,"Tinkler's Dene, Northumberland (Tinker's Dene; Rabbit Hall Or Rabbit Hill)"
507,"Shaftoe Crags, Northumberland"
508,"East Moneylaws Camp, Northumberland (Castle Hill)"
509,"Mindrummill Farm 1, Northumberland (Mindrim-Mill Farm)"
510,"Camp Hill, Downham, Northumberland (Downham Camp)"
511,"Mindrummill Farm 2, Northumberland (Mindrim-Mill Farm)"
512,"Dendon, Northumberland (Little Mill)"
513,"Buttony Wood Camp, Northumberland"
514,"Curls Walls, Northumberland (Carls Walls)"
515,"Kay Hill, Northumberland (Low Thor Law)"
516,"Ros Castle, Northumberland (Ross Castle)"
517,"Hepburn Crags Camp, Northumberland"
518,"Blue Crags, Northumberland"
519,"Oxhill Plantation, Northumberland"
520,"Gunnerton Crag Camps, Northumberland (West Gunnar Peak)"
521,"Craster Heugh, Northumberland"
522,"Chesters, Northumberland"
523,"The Ringses Camp Doddington, Northumberland"
524,"Fenton Hill Camp, Northumberland"
525,"Dod Law West, Northumberland (West Camp Dod Law)"
526,"Roughting Linn Camp, Northumberland"
527,"Farhill Crags, Northumberland"
528,"Crook Hill Easington, Northumberland"
529,"Spindlestone Heugh, Northumberland"
530,"Camp Plantation, Northumberland (North Charlton Camp)"
531,"Shipley Camp, Northumberland (Shipley Moor)"
532,"Sandy House Camp, Northumberland (Sandy Ouse Camp)"
533,"Flodden Edge Camp, Northumberland"
534,"Blackchesters, Northumberland"
535,"Broomie Knowe, Northumberland"
536,"Fordwood Camp, Northumberland"
537,"Flodden Camp, Northumberland (South Flodden)"
538,"Kaimknowe Fort, Northumberland"
